,experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
108,ROWA,108,3,2000ms,50,0.9583333333333334,1800.0,1725.0
109,ROWA,109,3,2000ms,40,0.9531481481481482,1800.0,1715.6666666666667
110,ROWA,110,3,2000ms,30,0.9379629629629628,1800.0,1688.3333333333333
111,ROWA,111,3,2000ms,20,0.9142592592592592,1800.0,1645.6666666666667
112,ROWA,112,3,2000ms,10,0.8172222222222222,1800.0,1471.0
113,ROWA,113,3,2000ms,5,0.6661111111111111,1800.0,1199.0
114,ROWA,114,3,2000ms,3,0.4605555555555555,1800.0,829.0
115,ROWA,115,3,2000ms,2,0.2796296296296296,1800.0,503.3333333333333
116,ROWA,116,3,2000ms,1,0.0024074074074074,1800.0,4.333333333333333
117,ROWA,117,3,1000ms,50,0.9578703703703704,3600.0,3448.333333333333
118,ROWA,118,3,1000ms,40,0.9542592592592593,3600.0,3435.333333333333
119,ROWA,119,3,1000ms,30,0.936574074074074,3600.0,3371.6666666666665
120,ROWA,120,3,1000ms,20,0.9099074074074074,3600.0,3275.6666666666665
121,ROWA,121,3,1000ms,10,0.8244444444444444,3600.0,2968.0
122,ROWA,122,3,1000ms,5,0.6485185185185185,3600.0,2334.6666666666665
123,ROWA,123,3,1000ms,3,0.4603703703703704,3600.0,1657.3333333333333
124,ROWA,124,3,1000ms,2,0.2706481481481481,3600.0,974.3333333333334
125,ROWA,125,3,1000ms,1,0.0028703703703703,3600.0,10.333333333333334
126,ROWA,126,3,500ms,50,0.9595833333333332,7200.0,6909.0
127,ROWA,127,3,500ms,40,0.9537037037037036,7200.0,6866.666666666667
128,ROWA,128,3,500ms,30,0.9355555555555556,7200.0,6736.0
129,ROWA,129,3,500ms,20,0.9030092592592592,7200.0,6501.666666666667
130,ROWA,130,3,500ms,10,0.8207407407407407,7200.0,5909.333333333333
131,ROWA,131,3,500ms,5,0.6581018518518518,7200.0,4738.333333333333
132,ROWA,132,3,500ms,3,0.4568981481481481,7200.0,3289.6666666666665
133,ROWA,133,3,500ms,2,0.2724074074074074,7200.0,1961.3333333333333
134,ROWA,134,3,500ms,1,0.0017129629629629,7200.0,12.333333333333334
135,ROWA,135,3,300ms,50,0.9394166666666668,12000.0,11273.0
136,ROWA,136,3,300ms,40,0.9257777777777778,12000.0,11109.333333333334
137,ROWA,137,3,300ms,30,0.8913333333333333,12000.0,10696.0
138,ROWA,138,3,300ms,20,0.8480833333333333,12000.0,10177.0
139,ROWA,139,3,300ms,10,0.7248055555555555,12000.0,8697.666666666666
140,ROWA,140,3,300ms,5,0.5300833333333334,12000.0,6361.0
141,ROWA,141,3,300ms,3,0.3616388888888889,12000.0,4339.666666666667
142,ROWA,142,3,300ms,2,0.2188888888888888,12000.0,2626.6666666666665
143,ROWA,143,3,300ms,1,0.0610833333333333,12000.0,733.0
144,ROWA,144,3,200ms,50,0.9104629629629628,18000.0,16388.333333333332
145,ROWA,145,3,200ms,40,0.8912592592592592,18000.0,16042.666666666666
146,ROWA,146,3,200ms,30,0.8589259259259259,18000.0,15460.666666666666
147,ROWA,147,3,200ms,20,0.7985925925925925,18000.0,14374.666666666666
148,ROWA,148,3,200ms,10,0.654537037037037,18000.0,11781.666666666666
149,ROWA,149,3,200ms,5,0.4535925925925926,18000.0,8164.666666666667
150,ROWA,150,3,200ms,3,0.2865925925925926,18000.0,5158.666666666667
151,ROWA,151,3,200ms,2,0.1688888888888889,18000.0,3040.0
152,ROWA,152,3,200ms,1,0.0357592592592592,18000.0,643.6666666666666
153,ROWA,153,3,100ms,50,0.8198240740740741,36000.0,29513.666666666668
154,ROWA,154,3,100ms,40,0.7805185185185185,36000.0,28098.666666666668
155,ROWA,155,3,100ms,30,0.7262962962962963,36000.0,26146.666666666668
156,ROWA,156,3,100ms,20,0.6268981481481481,36000.0,22568.33333333333
157,ROWA,157,3,100ms,10,0.4287314814814815,36000.0,15434.333333333334
158,ROWA,158,3,100ms,5,0.229787037037037,36000.0,8272.333333333334
159,ROWA,159,3,100ms,3,0.1181574074074074,36000.0,4253.666666666667
160,ROWA,160,3,100ms,2,0.0606944444444444,36000.0,2185.0
161,ROWA,161,3,100ms,1,0.0226574074074074,36000.0,815.6666666666666
