,experiment,run,type,module,name,attrname,attrvalue,value
6,Base,0,config,,,*.client[*].KEYSPACE_SIZE,50,
8,Base,0,config,,,*.client[*].PUT_INTERVAL,2000ms,
16,Base,0,config,,,**.CLIENTS_NUMBER,1,
1,Base,0,scalar,QBRD.client[0],# of aborted put,,,0.0
2,Base,0,scalar,QBRD.client[0],# of put requests,,,1800.0
9,Base,0,scalar,QBRD.client[0],# of committed put,,,1800.0
10,Base,0,scalar,QBRD.client[0],# of get responses,,,3600.0
11,Base,0,scalar,QBRD.client[0],# of get requests,,,3600.0
22,Base,1,config,,,*.client[*].PUT_INTERVAL,2000ms,
31,Base,1,config,,,**.CLIENTS_NUMBER,1,
34,Base,1,config,,,*.client[*].KEYSPACE_SIZE,40,
21,Base,1,scalar,QBRD.client[0],# of aborted put,,,0.0
24,Base,1,scalar,QBRD.client[0],# of committed put,,,1800.0
28,Base,1,scalar,QBRD.client[0],# of get requests,,,3600.0
32,Base,1,scalar,QBRD.client[0],# of put requests,,,1800.0
37,Base,1,scalar,QBRD.client[0],# of get responses,,,3600.0
44,Base,2,config,,,*.client[*].KEYSPACE_SIZE,30,
47,Base,2,config,,,*.client[*].PUT_INTERVAL,2000ms,
50,Base,2,config,,,**.CLIENTS_NUMBER,1,
40,Base,2,scalar,QBRD.client[0],# of get responses,,,3600.0
42,Base,2,scalar,QBRD.client[0],# of committed put,,,1800.0
43,Base,2,scalar,QBRD.client[0],# of aborted put,,,0.0
48,Base,2,scalar,QBRD.client[0],# of put requests,,,1800.0
55,Base,2,scalar,QBRD.client[0],# of get requests,,,3600.0
60,Base,3,config,,,**.CLIENTS_NUMBER,1,
61,Base,3,config,,,*.client[*].PUT_INTERVAL,2000ms,
63,Base,3,config,,,*.client[*].KEYSPACE_SIZE,20,
64,Base,3,scalar,QBRD.client[0],# of aborted put,,,0.0
65,Base,3,scalar,QBRD.client[0],# of get requests,,,3600.0
66,Base,3,scalar,QBRD.client[0],# of put requests,,,1800.0
71,Base,3,scalar,QBRD.client[0],# of committed put,,,1800.0
74,Base,3,scalar,QBRD.client[0],# of get responses,,,3600.0
92,Base,4,config,,,**.CLIENTS_NUMBER,1,
93,Base,4,config,,,*.client[*].PUT_INTERVAL,2000ms,
98,Base,4,config,,,*.client[*].KEYSPACE_SIZE,10,
80,Base,4,scalar,QBRD.client[0],# of get requests,,,3600.0
81,Base,4,scalar,QBRD.client[0],# of committed put,,,1800.0
83,Base,4,scalar,QBRD.client[0],# of put requests,,,1800.0
85,Base,4,scalar,QBRD.client[0],# of aborted put,,,0.0
89,Base,4,scalar,QBRD.client[0],# of get responses,,,3600.0
100,Base,5,config,,,**.CLIENTS_NUMBER,1,
105,Base,5,config,,,*.client[*].KEYSPACE_SIZE,5,
118,Base,5,config,,,*.client[*].PUT_INTERVAL,2000ms,
107,Base,5,scalar,QBRD.client[0],# of get requests,,,3600.0
109,Base,5,scalar,QBRD.client[0],# of put requests,,,1800.0
110,Base,5,scalar,QBRD.client[0],# of committed put,,,1800.0
111,Base,5,scalar,QBRD.client[0],# of aborted put,,,0.0
114,Base,5,scalar,QBRD.client[0],# of get responses,,,3600.0
123,Base,6,config,,,*.client[*].KEYSPACE_SIZE,3,
125,Base,6,config,,,*.client[*].PUT_INTERVAL,2000ms,
126,Base,6,config,,,**.CLIENTS_NUMBER,1,
121,Base,6,scalar,QBRD.client[0],# of committed put,,,1800.0
131,Base,6,scalar,QBRD.client[0],# of put requests,,,1800.0
132,Base,6,scalar,QBRD.client[0],# of aborted put,,,0.0
133,Base,6,scalar,QBRD.client[0],# of get responses,,,3600.0
134,Base,6,scalar,QBRD.client[0],# of get requests,,,3600.0
141,Base,7,config,,,*.client[*].PUT_INTERVAL,2000ms,
155,Base,7,config,,,**.CLIENTS_NUMBER,1,
158,Base,7,config,,,*.client[*].KEYSPACE_SIZE,2,
140,Base,7,scalar,QBRD.client[0],# of aborted put,,,0.0
142,Base,7,scalar,QBRD.client[0],# of get responses,,,3600.0
145,Base,7,scalar,QBRD.client[0],# of committed put,,,1800.0
148,Base,7,scalar,QBRD.client[0],# of put requests,,,1800.0
150,Base,7,scalar,QBRD.client[0],# of get requests,,,3600.0
166,Base,8,config,,,*.client[*].KEYSPACE_SIZE,1,
171,Base,8,config,,,**.CLIENTS_NUMBER,1,
174,Base,8,config,,,*.client[*].PUT_INTERVAL,2000ms,
160,Base,8,scalar,QBRD.client[0],# of put requests,,,1800.0
161,Base,8,scalar,QBRD.client[0],# of aborted put,,,0.0
162,Base,8,scalar,QBRD.client[0],# of get requests,,,3600.0
164,Base,8,scalar,QBRD.client[0],# of committed put,,,1800.0
167,Base,8,scalar,QBRD.client[0],# of get responses,,,3600.0
183,Base,9,config,,,*.client[*].KEYSPACE_SIZE,50,
184,Base,9,config,,,*.client[*].PUT_INTERVAL,1000ms,
195,Base,9,config,,,**.CLIENTS_NUMBER,1,
182,Base,9,scalar,QBRD.client[0],# of aborted put,,,0.0
188,Base,9,scalar,QBRD.client[0],# of put requests,,,3600.0
191,Base,9,scalar,QBRD.client[0],# of committed put,,,3600.0
192,Base,9,scalar,QBRD.client[0],# of get responses,,,3600.0
193,Base,9,scalar,QBRD.client[0],# of get requests,,,3600.0
203,Base,10,config,,,**.CLIENTS_NUMBER,1,
205,Base,10,config,,,*.client[*].KEYSPACE_SIZE,40,
207,Base,10,config,,,*.client[*].PUT_INTERVAL,1000ms,
200,Base,10,scalar,QBRD.client[0],# of committed put,,,3600.0
208,Base,10,scalar,QBRD.client[0],# of get requests,,,3600.0
210,Base,10,scalar,QBRD.client[0],# of get responses,,,3600.0
211,Base,10,scalar,QBRD.client[0],# of put requests,,,3600.0
214,Base,10,scalar,QBRD.client[0],# of aborted put,,,0.0
227,Base,11,config,,,**.CLIENTS_NUMBER,1,
228,Base,11,config,,,*.client[*].PUT_INTERVAL,1000ms,
233,Base,11,config,,,*.client[*].KEYSPACE_SIZE,30,
220,Base,11,scalar,QBRD.client[0],# of get responses,,,3600.0
224,Base,11,scalar,QBRD.client[0],# of get requests,,,3600.0
231,Base,11,scalar,QBRD.client[0],# of committed put,,,3600.0
235,Base,11,scalar,QBRD.client[0],# of put requests,,,3600.0
236,Base,11,scalar,QBRD.client[0],# of aborted put,,,0.0
249,Base,12,config,,,*.client[*].KEYSPACE_SIZE,20,
250,Base,12,config,,,*.client[*].PUT_INTERVAL,1000ms,
257,Base,12,config,,,**.CLIENTS_NUMBER,1,
241,Base,12,scalar,QBRD.client[0],# of aborted put,,,0.0
242,Base,12,scalar,QBRD.client[0],# of get requests,,,3600.0
243,Base,12,scalar,QBRD.client[0],# of get responses,,,3600.0
244,Base,12,scalar,QBRD.client[0],# of committed put,,,3600.0
246,Base,12,scalar,QBRD.client[0],# of put requests,,,3600.0
262,Base,13,config,,,*.client[*].KEYSPACE_SIZE,10,
268,Base,13,config,,,*.client[*].PUT_INTERVAL,1000ms,
274,Base,13,config,,,**.CLIENTS_NUMBER,1,
260,Base,13,scalar,QBRD.client[0],# of committed put,,,3600.0
261,Base,13,scalar,QBRD.client[0],# of put requests,,,3600.0
263,Base,13,scalar,QBRD.client[0],# of get responses,,,3600.0
266,Base,13,scalar,QBRD.client[0],# of get requests,,,3600.0
270,Base,13,scalar,QBRD.client[0],# of aborted put,,,0.0
283,Base,14,config,,,**.CLIENTS_NUMBER,1,
289,Base,14,config,,,*.client[*].KEYSPACE_SIZE,5,
297,Base,14,config,,,*.client[*].PUT_INTERVAL,1000ms,
280,Base,14,scalar,QBRD.client[0],# of aborted put,,,0.0
282,Base,14,scalar,QBRD.client[0],# of put requests,,,3600.0
291,Base,14,scalar,QBRD.client[0],# of get responses,,,3600.0
292,Base,14,scalar,QBRD.client[0],# of get requests,,,3600.0
296,Base,14,scalar,QBRD.client[0],# of committed put,,,3600.0
312,Base,15,config,,,**.CLIENTS_NUMBER,1,
315,Base,15,config,,,*.client[*].PUT_INTERVAL,1000ms,
319,Base,15,config,,,*.client[*].KEYSPACE_SIZE,3,
301,Base,15,scalar,QBRD.client[0],# of aborted put,,,0.0
305,Base,15,scalar,QBRD.client[0],# of committed put,,,3600.0
309,Base,15,scalar,QBRD.client[0],# of get responses,,,3600.0
313,Base,15,scalar,QBRD.client[0],# of get requests,,,3600.0
314,Base,15,scalar,QBRD.client[0],# of put requests,,,3600.0
327,Base,16,config,,,*.client[*].KEYSPACE_SIZE,2,
329,Base,16,config,,,*.client[*].PUT_INTERVAL,1000ms,
337,Base,16,config,,,**.CLIENTS_NUMBER,1,
320,Base,16,scalar,QBRD.client[0],# of aborted put,,,0.0
321,Base,16,scalar,QBRD.client[0],# of get requests,,,3600.0
322,Base,16,scalar,QBRD.client[0],# of put requests,,,3600.0
326,Base,16,scalar,QBRD.client[0],# of committed put,,,3600.0
328,Base,16,scalar,QBRD.client[0],# of get responses,,,3600.0
341,Base,17,config,,,*.client[*].KEYSPACE_SIZE,1,
350,Base,17,config,,,*.client[*].PUT_INTERVAL,1000ms,
351,Base,17,config,,,**.CLIENTS_NUMBER,1,
340,Base,17,scalar,QBRD.client[0],# of aborted put,,,0.0
342,Base,17,scalar,QBRD.client[0],# of committed put,,,3600.0
344,Base,17,scalar,QBRD.client[0],# of put requests,,,3600.0
345,Base,17,scalar,QBRD.client[0],# of get requests,,,3600.0
346,Base,17,scalar,QBRD.client[0],# of get responses,,,3600.0
365,Base,18,config,,,*.client[*].KEYSPACE_SIZE,50,
367,Base,18,config,,,**.CLIENTS_NUMBER,1,
368,Base,18,config,,,*.client[*].PUT_INTERVAL,500ms,
360,Base,18,scalar,QBRD.client[0],# of get requests,,,3600.0
361,Base,18,scalar,QBRD.client[0],# of get responses,,,3600.0
363,Base,18,scalar,QBRD.client[0],# of put requests,,,7200.0
369,Base,18,scalar,QBRD.client[0],# of aborted put,,,0.0
371,Base,18,scalar,QBRD.client[0],# of committed put,,,7200.0
390,Base,19,config,,,*.client[*].PUT_INTERVAL,500ms,
393,Base,19,config,,,*.client[*].KEYSPACE_SIZE,40,
394,Base,19,config,,,**.CLIENTS_NUMBER,1,
382,Base,19,scalar,QBRD.client[0],# of aborted put,,,0.0
383,Base,19,scalar,QBRD.client[0],# of committed put,,,7200.0
387,Base,19,scalar,QBRD.client[0],# of get requests,,,3600.0
388,Base,19,scalar,QBRD.client[0],# of get responses,,,3600.0
397,Base,19,scalar,QBRD.client[0],# of put requests,,,7200.0
404,Base,20,config,,,*.client[*].KEYSPACE_SIZE,30,
415,Base,20,config,,,**.CLIENTS_NUMBER,1,
416,Base,20,config,,,*.client[*].PUT_INTERVAL,500ms,
400,Base,20,scalar,QBRD.client[0],# of put requests,,,7200.0
401,Base,20,scalar,QBRD.client[0],# of aborted put,,,0.0
402,Base,20,scalar,QBRD.client[0],# of committed put,,,7200.0
406,Base,20,scalar,QBRD.client[0],# of get responses,,,3600.0
407,Base,20,scalar,QBRD.client[0],# of get requests,,,3600.0
424,Base,21,config,,,**.CLIENTS_NUMBER,1,
426,Base,21,config,,,*.client[*].PUT_INTERVAL,500ms,
428,Base,21,config,,,*.client[*].KEYSPACE_SIZE,20,
420,Base,21,scalar,QBRD.client[0],# of committed put,,,7200.0
421,Base,21,scalar,QBRD.client[0],# of aborted put,,,0.0
432,Base,21,scalar,QBRD.client[0],# of put requests,,,7200.0
434,Base,21,scalar,QBRD.client[0],# of get responses,,,3600.0
435,Base,21,scalar,QBRD.client[0],# of get requests,,,3600.0
441,Base,22,config,,,*.client[*].KEYSPACE_SIZE,10,
452,Base,22,config,,,*.client[*].PUT_INTERVAL,500ms,
453,Base,22,config,,,**.CLIENTS_NUMBER,1,
443,Base,22,scalar,QBRD.client[0],# of aborted put,,,0.0
444,Base,22,scalar,QBRD.client[0],# of committed put,,,7200.0
445,Base,22,scalar,QBRD.client[0],# of get responses,,,3600.0
446,Base,22,scalar,QBRD.client[0],# of get requests,,,3600.0
447,Base,22,scalar,QBRD.client[0],# of put requests,,,7200.0
470,Base,23,config,,,*.client[*].PUT_INTERVAL,500ms,
473,Base,23,config,,,**.CLIENTS_NUMBER,1,
477,Base,23,config,,,*.client[*].KEYSPACE_SIZE,5,
460,Base,23,scalar,QBRD.client[0],# of committed put,,,7200.0
461,Base,23,scalar,QBRD.client[0],# of aborted put,,,0.0
462,Base,23,scalar,QBRD.client[0],# of get requests,,,3600.0
464,Base,23,scalar,QBRD.client[0],# of put requests,,,7200.0
466,Base,23,scalar,QBRD.client[0],# of get responses,,,3600.0
489,Base,24,config,,,**.CLIENTS_NUMBER,1,
490,Base,24,config,,,*.client[*].PUT_INTERVAL,500ms,
492,Base,24,config,,,*.client[*].KEYSPACE_SIZE,3,
480,Base,24,scalar,QBRD.client[0],# of get requests,,,3600.0
481,Base,24,scalar,QBRD.client[0],# of get responses,,,3600.0
482,Base,24,scalar,QBRD.client[0],# of committed put,,,7200.0
483,Base,24,scalar,QBRD.client[0],# of aborted put,,,0.0
484,Base,24,scalar,QBRD.client[0],# of put requests,,,7200.0
506,Base,25,config,,,*.client[*].KEYSPACE_SIZE,2,
514,Base,25,config,,,*.client[*].PUT_INTERVAL,500ms,
515,Base,25,config,,,**.CLIENTS_NUMBER,1,
500,Base,25,scalar,QBRD.client[0],# of committed put,,,7200.0
501,Base,25,scalar,QBRD.client[0],# of get responses,,,3600.0
502,Base,25,scalar,QBRD.client[0],# of get requests,,,3600.0
503,Base,25,scalar,QBRD.client[0],# of put requests,,,7200.0
510,Base,25,scalar,QBRD.client[0],# of aborted put,,,0.0
524,Base,26,config,,,*.client[*].KEYSPACE_SIZE,1,
527,Base,26,config,,,*.client[*].PUT_INTERVAL,500ms,
528,Base,26,config,,,**.CLIENTS_NUMBER,1,
521,Base,26,scalar,QBRD.client[0],# of put requests,,,7200.0
522,Base,26,scalar,QBRD.client[0],# of get requests,,,3600.0
525,Base,26,scalar,QBRD.client[0],# of aborted put,,,0.0
529,Base,26,scalar,QBRD.client[0],# of committed put,,,7200.0
534,Base,26,scalar,QBRD.client[0],# of get responses,,,3600.0
542,Base,27,config,,,**.CLIENTS_NUMBER,1,
549,Base,27,config,,,*.client[*].KEYSPACE_SIZE,50,
550,Base,27,config,,,*.client[*].PUT_INTERVAL,300ms,
540,Base,27,scalar,QBRD.client[0],# of get responses,,,3600.0
544,Base,27,scalar,QBRD.client[0],# of put requests,,,12000.0
547,Base,27,scalar,QBRD.client[0],# of get requests,,,3600.0
555,Base,27,scalar,QBRD.client[0],# of committed put,,,11942.0
556,Base,27,scalar,QBRD.client[0],# of aborted put,,,58.0
565,Base,28,config,,,*.client[*].PUT_INTERVAL,300ms,
569,Base,28,config,,,*.client[*].KEYSPACE_SIZE,40,
571,Base,28,config,,,**.CLIENTS_NUMBER,1,
560,Base,28,scalar,QBRD.client[0],# of put requests,,,12000.0
561,Base,28,scalar,QBRD.client[0],# of get requests,,,3600.0
562,Base,28,scalar,QBRD.client[0],# of get responses,,,3600.0
563,Base,28,scalar,QBRD.client[0],# of aborted put,,,63.0
566,Base,28,scalar,QBRD.client[0],# of committed put,,,11937.0
584,Base,29,config,,,**.CLIENTS_NUMBER,1,
596,Base,29,config,,,*.client[*].KEYSPACE_SIZE,30,
598,Base,29,config,,,*.client[*].PUT_INTERVAL,300ms,
580,Base,29,scalar,QBRD.client[0],# of committed put,,,11903.0
581,Base,29,scalar,QBRD.client[0],# of put requests,,,12000.0
582,Base,29,scalar,QBRD.client[0],# of get responses,,,3600.0
590,Base,29,scalar,QBRD.client[0],# of get requests,,,3600.0
592,Base,29,scalar,QBRD.client[0],# of aborted put,,,97.0
600,Base,30,config,,,*.client[*].KEYSPACE_SIZE,20,
602,Base,30,config,,,*.client[*].PUT_INTERVAL,300ms,
618,Base,30,config,,,**.CLIENTS_NUMBER,1,
603,Base,30,scalar,QBRD.client[0],# of aborted put,,,122.0
606,Base,30,scalar,QBRD.client[0],# of put requests,,,12000.0
607,Base,30,scalar,QBRD.client[0],# of get requests,,,3600.0
608,Base,30,scalar,QBRD.client[0],# of get responses,,,3600.0
609,Base,30,scalar,QBRD.client[0],# of committed put,,,11878.0
620,Base,31,config,,,**.CLIENTS_NUMBER,1,
622,Base,31,config,,,*.client[*].PUT_INTERVAL,300ms,
635,Base,31,config,,,*.client[*].KEYSPACE_SIZE,10,
624,Base,31,scalar,QBRD.client[0],# of aborted put,,,319.0
625,Base,31,scalar,QBRD.client[0],# of committed put,,,11681.0
626,Base,31,scalar,QBRD.client[0],# of get responses,,,3600.0
627,Base,31,scalar,QBRD.client[0],# of get requests,,,3600.0
629,Base,31,scalar,QBRD.client[0],# of put requests,,,12000.0
647,Base,32,config,,,**.CLIENTS_NUMBER,1,
654,Base,32,config,,,*.client[*].KEYSPACE_SIZE,5,
656,Base,32,config,,,*.client[*].PUT_INTERVAL,300ms,
640,Base,32,scalar,QBRD.client[0],# of aborted put,,,587.0
641,Base,32,scalar,QBRD.client[0],# of get responses,,,3600.0
642,Base,32,scalar,QBRD.client[0],# of get requests,,,3600.0
644,Base,32,scalar,QBRD.client[0],# of put requests,,,12000.0
648,Base,32,scalar,QBRD.client[0],# of committed put,,,11413.0
660,Base,33,config,,,*.client[*].KEYSPACE_SIZE,3,
675,Base,33,config,,,**.CLIENTS_NUMBER,1,
677,Base,33,config,,,*.client[*].PUT_INTERVAL,300ms,
662,Base,33,scalar,QBRD.client[0],# of get responses,,,3600.0
664,Base,33,scalar,QBRD.client[0],# of put requests,,,12000.0
669,Base,33,scalar,QBRD.client[0],# of committed put,,,11068.0
670,Base,33,scalar,QBRD.client[0],# of get requests,,,3600.0
671,Base,33,scalar,QBRD.client[0],# of aborted put,,,932.0
686,Base,34,config,,,*.client[*].KEYSPACE_SIZE,2,
694,Base,34,config,,,*.client[*].PUT_INTERVAL,300ms,
697,Base,34,config,,,**.CLIENTS_NUMBER,1,
680,Base,34,scalar,QBRD.client[0],# of committed put,,,10581.0
681,Base,34,scalar,QBRD.client[0],# of aborted put,,,1419.0
684,Base,34,scalar,QBRD.client[0],# of get requests,,,3600.0
685,Base,34,scalar,QBRD.client[0],# of get responses,,,3600.0
691,Base,34,scalar,QBRD.client[0],# of put requests,,,12000.0
702,Base,35,config,,,*.client[*].PUT_INTERVAL,300ms,
704,Base,35,config,,,**.CLIENTS_NUMBER,1,
709,Base,35,config,,,*.client[*].KEYSPACE_SIZE,1,
705,Base,35,scalar,QBRD.client[0],# of get requests,,,3600.0
706,Base,35,scalar,QBRD.client[0],# of committed put,,,9437.0
707,Base,35,scalar,QBRD.client[0],# of get responses,,,3600.0
711,Base,35,scalar,QBRD.client[0],# of aborted put,,,2563.0
713,Base,35,scalar,QBRD.client[0],# of put requests,,,12000.0
723,Base,36,config,,,**.CLIENTS_NUMBER,1,
736,Base,36,config,,,*.client[*].PUT_INTERVAL,200ms,
739,Base,36,config,,,*.client[*].KEYSPACE_SIZE,50,
722,Base,36,scalar,QBRD.client[0],# of put requests,,,18000.0
727,Base,36,scalar,QBRD.client[0],# of committed put,,,17746.0
728,Base,36,scalar,QBRD.client[0],# of get requests,,,3600.0
729,Base,36,scalar,QBRD.client[0],# of aborted put,,,254.0
732,Base,36,scalar,QBRD.client[0],# of get responses,,,3600.0
740,Base,37,config,,,**.CLIENTS_NUMBER,1,
747,Base,37,config,,,*.client[*].PUT_INTERVAL,200ms,
759,Base,37,config,,,*.client[*].KEYSPACE_SIZE,40,
741,Base,37,scalar,QBRD.client[0],# of get requests,,,3600.0
744,Base,37,scalar,QBRD.client[0],# of committed put,,,17672.0
746,Base,37,scalar,QBRD.client[0],# of aborted put,,,328.0
751,Base,37,scalar,QBRD.client[0],# of get responses,,,3600.0
753,Base,37,scalar,QBRD.client[0],# of put requests,,,18000.0
761,Base,38,config,,,*.client[*].PUT_INTERVAL,200ms,
774,Base,38,config,,,*.client[*].KEYSPACE_SIZE,30,
778,Base,38,config,,,**.CLIENTS_NUMBER,1,
762,Base,38,scalar,QBRD.client[0],# of get responses,,,3600.0
763,Base,38,scalar,QBRD.client[0],# of get requests,,,3600.0
764,Base,38,scalar,QBRD.client[0],# of put requests,,,18000.0
765,Base,38,scalar,QBRD.client[0],# of aborted put,,,457.0
769,Base,38,scalar,QBRD.client[0],# of committed put,,,17543.0
784,Base,39,config,,,*.client[*].KEYSPACE_SIZE,20,
787,Base,39,config,,,*.client[*].PUT_INTERVAL,200ms,
792,Base,39,config,,,**.CLIENTS_NUMBER,1,
781,Base,39,scalar,QBRD.client[0],# of put requests,,,18000.0
782,Base,39,scalar,QBRD.client[0],# of get requests,,,3600.0
786,Base,39,scalar,QBRD.client[0],# of aborted put,,,680.0
795,Base,39,scalar,QBRD.client[0],# of get responses,,,3600.0
796,Base,39,scalar,QBRD.client[0],# of committed put,,,17320.0
801,Base,40,config,,,*.client[*].KEYSPACE_SIZE,10,
809,Base,40,config,,,*.client[*].PUT_INTERVAL,200ms,
816,Base,40,config,,,**.CLIENTS_NUMBER,1,
800,Base,40,scalar,QBRD.client[0],# of committed put,,,16741.0
802,Base,40,scalar,QBRD.client[0],# of get responses,,,3600.0
804,Base,40,scalar,QBRD.client[0],# of get requests,,,3600.0
805,Base,40,scalar,QBRD.client[0],# of put requests,,,18000.0
815,Base,40,scalar,QBRD.client[0],# of aborted put,,,1259.0
829,Base,41,config,,,*.client[*].KEYSPACE_SIZE,5,
831,Base,41,config,,,*.client[*].PUT_INTERVAL,200ms,
832,Base,41,config,,,**.CLIENTS_NUMBER,1,
822,Base,41,scalar,QBRD.client[0],# of get responses,,,3600.0
823,Base,41,scalar,QBRD.client[0],# of committed put,,,15547.0
824,Base,41,scalar,QBRD.client[0],# of aborted put,,,2453.0
833,Base,41,scalar,QBRD.client[0],# of get requests,,,3600.0
834,Base,41,scalar,QBRD.client[0],# of put requests,,,18000.0
854,Base,42,config,,,*.client[*].KEYSPACE_SIZE,3,
856,Base,42,config,,,*.client[*].PUT_INTERVAL,200ms,
857,Base,42,config,,,**.CLIENTS_NUMBER,1,
840,Base,42,scalar,QBRD.client[0],# of get requests,,,3600.0
841,Base,42,scalar,QBRD.client[0],# of put requests,,,18000.0
843,Base,42,scalar,QBRD.client[0],# of get responses,,,3600.0
844,Base,42,scalar,QBRD.client[0],# of committed put,,,14247.0
845,Base,42,scalar,QBRD.client[0],# of aborted put,,,3753.0
860,Base,43,config,,,*.client[*].KEYSPACE_SIZE,2,
870,Base,43,config,,,*.client[*].PUT_INTERVAL,200ms,
871,Base,43,config,,,**.CLIENTS_NUMBER,1,
861,Base,43,scalar,QBRD.client[0],# of committed put,,,12723.0
862,Base,43,scalar,QBRD.client[0],# of get responses,,,3600.0
863,Base,43,scalar,QBRD.client[0],# of aborted put,,,5277.0
864,Base,43,scalar,QBRD.client[0],# of put requests,,,18000.0
867,Base,43,scalar,QBRD.client[0],# of get requests,,,3600.0
885,Base,44,config,,,**.CLIENTS_NUMBER,1,
886,Base,44,config,,,*.client[*].KEYSPACE_SIZE,1,
896,Base,44,config,,,*.client[*].PUT_INTERVAL,200ms,
880,Base,44,scalar,QBRD.client[0],# of committed put,,,9371.0
881,Base,44,scalar,QBRD.client[0],# of aborted put,,,8629.0
883,Base,44,scalar,QBRD.client[0],# of put requests,,,18000.0
884,Base,44,scalar,QBRD.client[0],# of get requests,,,3600.0
892,Base,44,scalar,QBRD.client[0],# of get responses,,,3600.0
901,Base,45,config,,,*.client[*].PUT_INTERVAL,100ms,
902,Base,45,config,,,**.CLIENTS_NUMBER,1,
909,Base,45,config,,,*.client[*].KEYSPACE_SIZE,50,
900,Base,45,scalar,QBRD.client[0],# of get requests,,,3600.0
903,Base,45,scalar,QBRD.client[0],# of aborted put,,,1586.0
908,Base,45,scalar,QBRD.client[0],# of get responses,,,3600.0
911,Base,45,scalar,QBRD.client[0],# of put requests,,,36000.0
916,Base,45,scalar,QBRD.client[0],# of committed put,,,34414.0
927,Base,46,config,,,**.CLIENTS_NUMBER,1,
938,Base,46,config,,,*.client[*].PUT_INTERVAL,100ms,
939,Base,46,config,,,*.client[*].KEYSPACE_SIZE,40,
924,Base,46,scalar,QBRD.client[0],# of get responses,,,3600.0
929,Base,46,scalar,QBRD.client[0],# of put requests,,,36000.0
930,Base,46,scalar,QBRD.client[0],# of get requests,,,3600.0
932,Base,46,scalar,QBRD.client[0],# of committed put,,,34100.0
933,Base,46,scalar,QBRD.client[0],# of aborted put,,,1900.0
942,Base,47,config,,,*.client[*].PUT_INTERVAL,100ms,
944,Base,47,config,,,*.client[*].KEYSPACE_SIZE,30,
946,Base,47,config,,,**.CLIENTS_NUMBER,1,
940,Base,47,scalar,QBRD.client[0],# of get requests,,,3600.0
941,Base,47,scalar,QBRD.client[0],# of get responses,,,3600.0
943,Base,47,scalar,QBRD.client[0],# of aborted put,,,2531.0
952,Base,47,scalar,QBRD.client[0],# of committed put,,,33469.0
954,Base,47,scalar,QBRD.client[0],# of put requests,,,36000.0
971,Base,48,config,,,**.CLIENTS_NUMBER,1,
976,Base,48,config,,,*.client[*].KEYSPACE_SIZE,20,
978,Base,48,config,,,*.client[*].PUT_INTERVAL,100ms,
960,Base,48,scalar,QBRD.client[0],# of get responses,,,3600.0
962,Base,48,scalar,QBRD.client[0],# of put requests,,,36000.0
965,Base,48,scalar,QBRD.client[0],# of committed put,,,32226.0
966,Base,48,scalar,QBRD.client[0],# of aborted put,,,3774.0
967,Base,48,scalar,QBRD.client[0],# of get requests,,,3600.0
980,Base,49,config,,,*.client[*].PUT_INTERVAL,100ms,
984,Base,49,config,,,*.client[*].KEYSPACE_SIZE,10,
987,Base,49,config,,,**.CLIENTS_NUMBER,1,
981,Base,49,scalar,QBRD.client[0],# of committed put,,,28930.0
982,Base,49,scalar,QBRD.client[0],# of aborted put,,,7070.0
983,Base,49,scalar,QBRD.client[0],# of put requests,,,36000.0
992,Base,49,scalar,QBRD.client[0],# of get responses,,,3600.0
996,Base,49,scalar,QBRD.client[0],# of get requests,,,3600.0
1016,Base,50,config,,,**.CLIENTS_NUMBER,1,
1017,Base,50,config,,,*.client[*].KEYSPACE_SIZE,5,
1019,Base,50,config,,,*.client[*].PUT_INTERVAL,100ms,
1000,Base,50,scalar,QBRD.client[0],# of get responses,,,3600.0
1001,Base,50,scalar,QBRD.client[0],# of aborted put,,,12182.0
1005,Base,50,scalar,QBRD.client[0],# of put requests,,,36000.0
1006,Base,50,scalar,QBRD.client[0],# of get requests,,,3600.0
1008,Base,50,scalar,QBRD.client[0],# of committed put,,,23818.0
1027,Base,51,config,,,*.client[*].KEYSPACE_SIZE,3,
1032,Base,51,config,,,*.client[*].PUT_INTERVAL,100ms,
1033,Base,51,config,,,**.CLIENTS_NUMBER,1,
1020,Base,51,scalar,QBRD.client[0],# of put requests,,,36000.0
1021,Base,51,scalar,QBRD.client[0],# of committed put,,,18639.0
1022,Base,51,scalar,QBRD.client[0],# of get responses,,,3600.0
1023,Base,51,scalar,QBRD.client[0],# of get requests,,,3600.0
1029,Base,51,scalar,QBRD.client[0],# of aborted put,,,17361.0
1050,Base,52,config,,,*.client[*].KEYSPACE_SIZE,2,
1052,Base,52,config,,,*.client[*].PUT_INTERVAL,100ms,
1053,Base,52,config,,,**.CLIENTS_NUMBER,1,
1040,Base,52,scalar,QBRD.client[0],# of aborted put,,,22013.0
1041,Base,52,scalar,QBRD.client[0],# of get responses,,,3600.0
1042,Base,52,scalar,QBRD.client[0],# of get requests,,,3600.0
1043,Base,52,scalar,QBRD.client[0],# of put requests,,,36000.0
1044,Base,52,scalar,QBRD.client[0],# of committed put,,,13987.0
1066,Base,53,config,,,*.client[*].PUT_INTERVAL,100ms,
1071,Base,53,config,,,**.CLIENTS_NUMBER,1,
1072,Base,53,config,,,*.client[*].KEYSPACE_SIZE,1,
1060,Base,53,scalar,QBRD.client[0],# of get requests,,,3600.0
