,experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
108,Base,108,3,2000ms,50,0.9683333333333334,1800.0,1743.0
109,Base,109,3,2000ms,40,0.9622222222222222,1800.0,1732.0
110,Base,110,3,2000ms,30,0.9533333333333334,1800.0,1716.0
111,Base,111,3,2000ms,20,0.9238888888888888,1800.0,1663.0
112,Base,112,3,2000ms,10,0.8588888888888889,1800.0,1546.0
113,Base,113,3,2000ms,5,0.7133333333333334,1800.0,1284.0
114,Base,114,3,2000ms,3,0.5561111111111111,1800.0,1001.0
115,Base,115,3,2000ms,2,0.3907407407407408,1800.0,703.3333333333334
116,Base,116,3,2000ms,1,0.0825925925925925,1800.0,148.66666666666666
117,Base,117,3,1000ms,50,0.9725,3600.0,3501.0
118,Base,118,3,1000ms,40,0.965925925925926,3600.0,3477.333333333333
119,Base,119,3,1000ms,30,0.95,3600.0,3420.0
120,Base,120,3,1000ms,20,0.9262037037037038,3600.0,3334.333333333333
121,Base,121,3,1000ms,10,0.8524074074074074,3600.0,3068.6666666666665
122,Base,122,3,1000ms,5,0.7233333333333334,3600.0,2604.0
123,Base,123,3,1000ms,3,0.5560185185185186,3600.0,2001.6666666666667
124,Base,124,3,1000ms,2,0.3958333333333333,3600.0,1425.0
125,Base,125,3,1000ms,1,0.0812962962962963,3600.0,292.6666666666667
126,Base,126,3,500ms,50,0.9685648148148148,7200.0,6973.666666666667
127,Base,127,3,500ms,40,0.965787037037037,7200.0,6953.666666666667
128,Base,128,3,500ms,30,0.9499074074074072,7200.0,6839.333333333333
129,Base,129,3,500ms,20,0.9310185185185184,7200.0,6703.333333333333
130,Base,130,3,500ms,10,0.8537037037037037,7200.0,6146.666666666667
131,Base,131,3,500ms,5,0.7205555555555555,7200.0,5188.0
132,Base,132,3,500ms,3,0.5559259259259259,7200.0,4002.6666666666665
133,Base,133,3,500ms,2,0.39625,7200.0,2853.0
134,Base,134,3,500ms,1,0.0828703703703703,7200.0,596.6666666666666
135,Base,135,3,300ms,50,0.9573333333333334,12000.0,11488.0
136,Base,136,3,300ms,40,0.9453333333333334,12000.0,11344.0
137,Base,137,3,300ms,30,0.92625,12000.0,11115.0
138,Base,138,3,300ms,20,0.89375,12000.0,10725.0
139,Base,139,3,300ms,10,0.8044166666666667,12000.0,9653.0
140,Base,140,3,300ms,5,0.6481388888888889,12000.0,7777.666666666667
141,Base,141,3,300ms,3,0.5001111111111111,12000.0,6001.333333333333
142,Base,142,3,300ms,2,0.3588888888888889,12000.0,4306.666666666667
143,Base,143,3,300ms,1,0.1320833333333333,12000.0,1585.0
144,Base,144,3,200ms,50,0.9295185185185184,18000.0,16731.333333333332
145,Base,145,3,200ms,40,0.9097037037037036,18000.0,16374.666666666666
146,Base,146,3,200ms,30,0.8861851851851852,18000.0,15951.333333333334
147,Base,147,3,200ms,20,0.8351111111111111,18000.0,15032.0
148,Base,148,3,200ms,10,0.7082037037037037,18000.0,12747.666666666666
149,Base,149,3,200ms,5,0.5241851851851852,18000.0,9435.333333333334
150,Base,150,3,200ms,3,0.3701666666666666,18000.0,6663.0
151,Base,151,3,200ms,2,0.2441481481481481,18000.0,4394.666666666667
152,Base,152,3,200ms,1,0.0863703703703703,18000.0,1554.6666666666667
153,Base,153,3,100ms,50,0.8521666666666666,36000.0,30678.0
154,Base,154,3,100ms,40,0.8208148148148148,36000.0,29549.33333333333
155,Base,155,3,100ms,30,0.7705833333333333,36000.0,27741.0
156,Base,156,3,100ms,20,0.6862314814814815,36000.0,24704.33333333333
157,Base,157,3,100ms,10,0.4971018518518519,36000.0,17895.666666666668
158,Base,158,3,100ms,5,0.2902037037037037,36000.0,10447.333333333334
159,Base,159,3,100ms,3,0.1604814814814814,36000.0,5777.333333333333
160,Base,160,3,100ms,2,0.0871203703703703,36000.0,3136.333333333333
161,Base,161,3,100ms,1,0.0240185185185185,36000.0,864.6666666666666
