,experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
54,Base,54,2,2000ms,50,0.9852777777777778,1800.0,1773.5
55,Base,55,2,2000ms,40,0.9838888888888888,1800.0,1771.0
56,Base,56,2,2000ms,30,0.9780555555555556,1800.0,1760.5
57,Base,57,2,2000ms,20,0.9605555555555556,1800.0,1729.0
58,Base,58,2,2000ms,10,0.9294444444444444,1800.0,1673.0
59,Base,59,2,2000ms,5,0.8513888888888889,1800.0,1532.5
60,Base,60,2,2000ms,3,0.7519444444444444,1800.0,1353.5
61,Base,61,2,2000ms,2,0.6255555555555555,1800.0,1126.0
62,Base,62,2,2000ms,1,0.2513888888888889,1800.0,452.5
63,Base,63,2,1000ms,50,0.98,3600.0,3528.0
64,Base,64,2,1000ms,40,0.9838888888888888,3600.0,3542.0
65,Base,65,2,1000ms,30,0.9790277777777778,3600.0,3524.5
66,Base,66,2,1000ms,20,0.9577777777777776,3600.0,3448.0
67,Base,67,2,1000ms,10,0.9277777777777778,3600.0,3340.0
68,Base,68,2,1000ms,5,0.8513888888888889,3600.0,3065.0
69,Base,69,2,1000ms,3,0.7593055555555556,3600.0,2733.5
70,Base,70,2,1000ms,2,0.6331944444444444,3600.0,2279.5
71,Base,71,2,1000ms,1,0.2494444444444444,3600.0,898.0
72,Base,72,2,500ms,50,0.9859027777777778,7200.0,7098.5
73,Base,73,2,500ms,40,0.9815972222222222,7200.0,7067.5
74,Base,74,2,500ms,30,0.9734722222222222,7200.0,7009.0
75,Base,75,2,500ms,20,0.961875,7200.0,6925.5
76,Base,76,2,500ms,10,0.9253472222222222,7200.0,6662.5
77,Base,77,2,500ms,5,0.8483333333333334,7200.0,6108.0
78,Base,78,2,500ms,3,0.7466666666666667,7200.0,5376.0
79,Base,79,2,500ms,2,0.619375,7200.0,4459.5
80,Base,80,2,500ms,1,0.2472222222222222,7200.0,1780.0
81,Base,81,2,300ms,50,0.9738333333333332,12000.0,11686.0
82,Base,82,2,300ms,40,0.9700833333333332,12000.0,11641.0
83,Base,83,2,300ms,30,0.9595,12000.0,11514.0
84,Base,84,2,300ms,20,0.9428333333333332,12000.0,11314.0
85,Base,85,2,300ms,10,0.8810416666666666,12000.0,10572.5
86,Base,86,2,300ms,5,0.7835416666666667,12000.0,9402.5
87,Base,87,2,300ms,3,0.6659583333333333,12000.0,7991.5
88,Base,88,2,300ms,2,0.5441666666666667,12000.0,6530.0
89,Base,89,2,300ms,1,0.261,12000.0,3132.0
90,Base,90,2,200ms,50,0.9552222222222222,18000.0,17194.0
91,Base,91,2,200ms,40,0.9467222222222222,18000.0,17041.0
92,Base,92,2,200ms,30,0.9300277777777778,18000.0,16740.5
93,Base,93,2,200ms,20,0.8941944444444444,18000.0,16095.5
94,Base,94,2,200ms,10,0.8061944444444444,18000.0,14511.5
95,Base,95,2,200ms,5,0.665,18000.0,11970.0
96,Base,96,2,200ms,3,0.5202777777777777,18000.0,9365.0
97,Base,97,2,200ms,2,0.3953611111111111,18000.0,7116.5
98,Base,98,2,200ms,1,0.1721944444444444,18000.0,3099.5
99,Base,99,2,100ms,50,0.9015,36000.0,32454.0
100,Base,100,2,100ms,40,0.8791388888888889,36000.0,31649.0
101,Base,101,2,100ms,30,0.8457777777777777,36000.0,30448.0
102,Base,102,2,100ms,20,0.7810972222222222,36000.0,28119.5
103,Base,103,2,100ms,10,0.6265972222222222,36000.0,22557.5
104,Base,104,2,100ms,5,0.4229305555555555,36000.0,15225.5
105,Base,105,2,100ms,3,0.2704583333333333,36000.0,9736.5
106,Base,106,2,100ms,2,0.1652916666666666,36000.0,5950.5
107,Base,107,2,100ms,1,0.0511666666666666,36000.0,1842.0
